Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  201 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1209927,  1213049,  3122 
1 , 3133048,  3136181,  3133 , 3846253 
2 , 4898758,  4901903,  3145 , 3531432 
3 , 6573019,  6576175,  3156 , 3348533 
4 , 8180733,  8183899,  3166 , 3215438 
5 , 9738426,  9741602,  3176 , 3115396 
6 , 11254207,  11257396,  3189 , 3031575 
7 , 12734596,  12737795,  3199 , 2960788 
8 , 14184846,  14188056,  3210 , 2900511 
9 , 15608829,  15612049,  3220 , 2847976 
10 , 17008236,  17011469,  3233 , 2798827 
11 , 18386989,  18390233,  3244 , 2757517 
12 , 19745930,  19749184,  3254 , 2717892 
13 , 21087197,  21090463,  3266 , 2682546 
14 , 22411974,  22415252,  3278 , 2649566 
15 , 23721772,  23725061,  3289 , 2619607 
16 , 25017292,  25020590,  3298 , 2591049 
17 , 26299744,  26303587,  3843 , 2565449 
18 , 27569665,  27572987,  3322 , 2539321 
19 , 28828270,  28831602,  3332 , 2517220 
20 , 30075601,  30078944,  3343 , 2494673 
21 , 31313344,  31316698,  3354 , 2475497 
22 , 32540800,  32544167,  3367 , 2454925 
23 , 33759554,  33762931,  3377 , 2437518 
24 , 34969735,  34973123,  3388 , 2420373 
25 , 36171587,  36174986,  3399 , 2403715 
26 , 37365397,  37368808,  3411 , 2387632 
27 , 38551625,  38555046,  3421 , 2372466 
28 , 39730473,  39733906,  3433 , 2357708 
29 , 40902621,  40906064,  3443 , 2344306 
30 , 42068136,  42071590,  3454 , 2331041 
31 , 43227352,  43230817,  3465 , 2318443 
32 , 44380323,  44383801,  3478 , 2305955 
33 , 45527401,  45530887,  3486 , 2294164 
34 , 46668781,  46672279,  3498 , 2282772 
35 , 47804598,  47808107,  3509 , 2271645 
36 , 48935310,  48938830,  3520 , 2261435 
37 , 50060859,  50064388,  3529 , 2251107 
38 , 51181653,  51185196,  3543 , 2241602 
39 , 52297411,  52300964,  3553 , 2231526 
40 , 53408540,  53412104,  3564 , 2222269 
41 , 54514915,  54518490,  3575 , 2212761 
42 , 55617008,  55620595,  3587 , 2204198 
43 , 56714557,  56718153,  3596 , 2195107 
44 , 57808103,  57811711,  3608 , 2187104 
45 , 58897468,  58901086,  3618 , 2178740 
46 , 59982968,  59986598,  3630 , 2171012 
47 , 61064436,  61068076,  3640 , 2162946 
48 , 62142342,  62145993,  3651 , 2155823 
49 , 63216449,  63220111,  3662 , 2148225 
50 , 64287124,  64290797,  3673 , 2141361 
51 , 65354194,  65357877,  3683 , 2134150 
52 , 66418114,  66421811,  3697 , 2127854 
53 , 67478542,  67482248,  3706 , 2120865 
54 , 68535934,  68539653,  3719 , 2114797 
55 , 69590080,  69593808,  3728 , 2108301 
56 , 70641296,  70645035,  3739 , 2102443 
57 , 71689450,  71693199,  3749 , 2096318 
58 , 72734749,  72738509,  3760 , 2090609 
59 , 73777173,  73780946,  3773 , 2084861 
60 , 74816872,  74820655,  3783 , 2079408 
61 , 75853819,  75857612,  3793 , 2073904 
62 , 76888193,  76891997,  3804 , 2068759 
63 , 77919901,  77923718,  3817 , 2063429 
64 , 78949165,  78952993,  3828 , 2058539 
65 , 79975857,  79979695,  3838 , 2053394 
66 , 81000249,  81004098,  3849 , 2048795 
67 , 82022122,  82025981,  3859 , 2043756 
68 , 83041791,  83045660,  3869 , 2039348 
69 , 84059134,  84063012,  3878 , 2034695 
70 , 85074302,  85078192,  3890 , 2030348 
71 , 86087232,  86091133,  3901 , 2025871 
72 , 87098065,  87101977,  3912 , 2021677 
73 , 88106770,  88110692,  3922 , 2017420 
74 , 89113395,  89117330,  3935 , 2013263 
75 , 90117994,  90121938,  3944 , 2009207 
76 , 91120591,  91124547,  3956 , 2005206 
77 , 92121158,  92125123,  3965 , 2001143 
78 , 93119863,  93123839,  3976 , 1997421 
79 , 94116596,  94120584,  3988 , 1993478 
80 , 95111676,  95115673,  3997 , 1990169 
81 , 96104624,  96108633,  4009 , 1985908 
82 , 97096032,  97100052,  4020 , 1982827 
83 , 98085352,  98089381,  4029 , 1978649 
84 , 99073227,  99077268,  4041 , 1975762 
85 , 100059091,  100063143,  4052 , 1971739 
86 , 101043522,  101047587,  4065 , 1968875 
87 , 102026029,  102030102,  4073 , 1965022 
88 , 103007124,  103011209,  4085 , 1962202 
89 , 103986350,  103990446,  4096 , 1958463 
90 , 104964229,  104968335,  4106 , 1955768 
91 , 105940288,  105944406,  4118 , 1952130 
92 , 106915042,  106919171,  4129 , 1949519 
93 , 107888016,  107892156,  4140 , 1945959 
94 , 108859712,  108863864,  4152 , 1943404 
95 , 109829718,  109833879,  4161 , 1940021 
96 , 110798459,  110802632,  4173 , 1937494 
97 , 111765625,  111769807,  4182 , 1934341 
98 , 112731588,  112735783,  4195 , 1931939 
99 , 113695954,  113700158,  4204 , 1928741 
100 , 114659187,  114663403,  4216 , 1926478 
101 , 115620811,  115625037,  4226 , 1923258 
102 , 116581340,  116585578,  4238 , 1921070 
103 , 117540290,  117544538,  4248 , 1917910 
104 , 118498208,  118502467,  4259 , 1915847 
105 , 119454549,  119458821,  4272 , 1912695 
106 , 120409908,  120414191,  4283 , 1910729 
107 , 121363740,  121368033,  4293 , 1907674 
108 , 122316634,  122320939,  4305 , 1905800 
109 , 123268029,  123272344,  4315 , 1902800 
110 , 124218492,  124222818,  4326 , 1900937 
111 , 125167511,  125171849,  4338 , 1898050 
112 , 126115610,  126119959,  4349 , 1896209 
113 , 127062319,  127066677,  4358 , 1893427 
114 , 128008158,  128012529,  4371 , 1891691 
115 , 128952606,  128956988,  4382 , 1888907 
116 , 129896019,  129900411,  4392 , 1886836 
117 , 130838271,  130842672,  4401 , 1884513 
118 , 131779552,  131783968,  4416 , 1882577 
119 , 132719593,  132724017,  4424 , 1880090 
120 , 133658787,  133663224,  4437 , 1878401 
121 , 134596778,  134601223,  4445 , 1875990 
122 , 135533961,  135538418,  4457 , 1874378 
123 , 136469914,  136474383,  4469 , 1871918 
124 , 137405115,  137409594,  4479 , 1870412 
125 , 138339119,  138343610,  4491 , 1868020 
126 , 139272385,  139276888,  4503 , 1866544 
127 , 140204429,  140208943,  4514 , 1864099 
128 , 141135729,  141140252,  4523 , 1862609 
129 , 142065946,  142070479,  4533 , 1860444 
130 , 142995375,  142999923,  4548 , 1858873 
131 , 143923750,  143928307,  4557 , 1856759 
132 , 144851396,  144855964,  4568 , 1855303 
133 , 145778011,  145782589,  4578 , 1853240 
134 , 146703936,  146708525,  4589 , 1851861 
135 , 147628803,  147633400,  4597 , 1849742 
136 , 148553043,  148557653,  4610 , 1848493 
137 , 149476158,  149480779,  4621 , 1846241 
138 , 150398833,  150403466,  4633 , 1845362 
139 , 151320275,  151324917,  4642 , 1842893 
140 , 152241282,  152245935,  4653 , 1842025 
141 , 153161118,  153165781,  4663 , 1839682 
142 , 154080429,  154085105,  4676 , 1838635 
143 , 154998729,  155003414,  4685 , 1836609 
144 , 155916450,  155921148,  4698 , 1835455 
145 , 156833190,  156837898,  4708 , 1833490 
146 , 157749430,  157754149,  4719 , 1832491 
147 , 158664664,  158669393,  4729 , 1830478 
148 , 159579406,  159584148,  4742 , 1829497 
149 , 160493159,  160497910,  4751 , 1827515 
150 , 161406468,  161411231,  4763 , 1826630 
151 , 162318795,  162323566,  4771 , 1824662 
152 , 163230666,  163235451,  4785 , 1823756 
153 , 164141507,  164146301,  4794 , 1821691 
154 , 165051956,  165056761,  4805 , 1820909 
155 , 165961369,  165966186,  4817 , 1818838 
156 , 166870439,  166875267,  4828 , 1818151 
157 , 167778462,  167783300,  4838 , 1816056 
158 , 168686129,  168690980,  4851 , 1815347 
159 , 169592803,  169597663,  4860 , 1813357 
160 , 170499020,  170503893,  4873 , 1812447 
161 , 171404498,  171409381,  4883 , 1810966 
162 , 172309333,  172314228,  4895 , 1809682 
163 , 173213519,  173218425,  4906 , 1808383 
164 , 174117132,  174122047,  4915 , 1807235 
165 , 175019903,  175024829,  4926 , 1805553 
166 , 175922288,  175927227,  4939 , 1804783 
167 , 176823796,  176828744,  4948 , 1803025 
168 , 177724940,  177729900,  4960 , 1802300 
169 , 178625234,  178630205,  4971 , 1800599 
170 , 179525187,  179530169,  4982 , 1799917 
171 , 180424279,  180429272,  4993 , 1798195 
172 , 181322987,  181327993,  5006 , 1797429 
173 , 182220844,  182225858,  5014 , 1795722 
174 , 183118411,  183123438,  5027 , 1795147 
175 , 184015097,  184020134,  5037 , 1793382 
176 , 184911511,  184916559,  5048 , 1792839 
177 , 185807044,  185812103,  5059 , 1791077 
178 , 186702305,  186707377,  5072 , 1790535 
179 , 187596719,  187601801,  5082 , 1788838 
180 , 188490869,  188495963,  5094 , 1788312 
181 , 189384182,  189389286,  5104 , 1786636 
182 , 190277262,  190282377,  5115 , 1786171 
183 , 191169507,  191174634,  5127 , 1784502 
184 , 192061519,  192066657,  5138 , 1784035 
185 , 192952706,  192957853,  5147 , 1782383 
186 , 193843645,  193848805,  5160 , 1781891 
187 , 194733799,  194738969,  5170 , 1780318 
188 , 195623706,  195628889,  5183 , 1779827 
189 , 196512837,  196518029,  5192 , 1778271 
190 , 197401734,  197406937,  5203 , 1777805 
191 , 198289882,  198295096,  5214 , 1776307 
192 , 199177781,  199183007,  5226 , 1775810 
193 , 200064935,  200070172,  5237 , 1774319 
194 , 200951873,  200957121,  5248 , 1773887 
195 , 201838061,  201843319,  5258 , 1772386 
196 , 202724041,  202729311,  5270 , 1771972 
197 , 203609302,  203614582,  5280 , 1770532 
198 , 204494332,  204499625,  5293 , 1770073 
199 , 205378653,  205383957,  5304 , 1768653 
200 , 206262780,  206268096,  5316 , 1768266 
Число меток разделителя:  2 
0 
201 
Эффективный угловой размер затеняющй спицы:  0.005220750757  0.000003416949 
Период линейных колебаний [сек]:  1.332099266902  0.000871850678   
