Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  290 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1140952,  1144071,  3119 
1 , 3055614,  3058744,  3130 , 3829335 
2 , 4820276,  4823416,  3140 , 3529334 
3 , 6493425,  6496576,  3151 , 3346309 
4 , 8101163,  8104325,  3162 , 3215487 
5 , 9657909,  9661082,  3173 , 3113503 
6 , 11172422,  11175606,  3184 , 3029037 
7 , 12651523,  12654718,  3195 , 2958213 
8 , 14100709,  14103914,  3205 , 2898382 
9 , 15523122,  15526339,  3217 , 2844838 
10 , 16921945,  16925173,  3228 , 2797657 
11 , 18299917,  18303155,  3238 , 2755954 
12 , 19658498,  19661748,  3250 , 2717174 
13 , 20999487,  21002747,  3260 , 2681988 
14 , 22324517,  22327788,  3271 , 2650071 
15 , 23634522,  23637804,  3282 , 2620021 
16 , 24930357,  24933650,  3293 , 2591681 
17 , 26213328,  26216633,  3305 , 2565954 
18 , 27484149,  27487465,  3316 , 2541653 
19 , 28743487,  28746812,  3325 , 2518685 
20 , 29992026,  29995363,  3337 , 2497090 
21 , 31230336,  31233682,  3346 , 2476629 
22 , 32458989,  32462348,  3359 , 2457319 
23 , 33678431,  33681800,  3369 , 2438894 
24 , 34889280,  34892661,  3381 , 2421710 
25 , 36091757,  36095148,  3391 , 2404964 
26 , 37286396,  37289799,  3403 , 2389290 
27 , 38473418,  38476831,  3413 , 2374054 
28 , 39653228,  39656652,  3424 , 2359631 
29 , 40826065,  40829501,  3436 , 2345686 
30 , 41992245,  41995691,  3446 , 2332370 
31 , 43152015,  43155472,  3457 , 2319551 
32 , 44305691,  44309159,  3468 , 2307363 
33 , 45453356,  45456834,  3478 , 2295340 
34 , 46595453,  46598944,  3491 , 2284207 
35 , 47731948,  47735448,  3500 , 2272999 
36 , 48863251,  48866762,  3511 , 2262617 
37 , 49989295,  49992816,  3521 , 2252098 
38 , 51110449,  51113982,  3533 , 2242320 
39 , 52226702,  52230245,  3543 , 2232516 
40 , 53338282,  53341836,  3554 , 2223171 
41 , 54445310,  54448874,  3564 , 2214066 
42 , 55547960,  55551535,  3575 , 2205311 
43 , 56646315,  56649902,  3587 , 2196722 
44 , 57740485,  57744083,  3598 , 2188351 
45 , 58830605,  58834213,  3608 , 2180250 
46 , 59916834,  59920452,  3618 , 2172468 
47 , 60999159,  61002789,  3630 , 2164662 
48 , 62077805,  62081447,  3642 , 2157304 
49 , 63152806,  63156458,  3652 , 2150012 
50 , 64224245,  64227909,  3664 , 2142890 
51 , 65292249,  65295923,  3674 , 2136018 
52 , 66356886,  66360570,  3684 , 2129284 
53 , 67418253,  67421947,  3694 , 2122744 
54 , 68476415,  68480120,  3705 , 2116335 
55 , 69531404,  69535120,  3716 , 2109989 
56 , 70583297,  70587025,  3728 , 2103798 
57 , 71632175,  71635913,  3738 , 2097766 
58 , 72678162,  72681914,  3752 , 2091988 
59 , 73721264,  73725024,  3760 , 2086212 
60 , 74761607,  74765380,  3773 , 2080699 
61 , 75799208,  75802989,  3781 , 2075210 
62 , 76834137,  76837930,  3793 , 2069870 
63 , 77866446,  77870249,  3803 , 2064628 
64 , 78896212,  78900026,  3814 , 2059543 
65 , 79923482,  79927306,  3824 , 2054550 
66 , 80948332,  80952168,  3836 , 2049712 
67 , 81970782,  81974628,  3846 , 2044910 
68 , 82990885,  82994743,  3858 , 2040218 
69 , 84008659,  84012528,  3869 , 2035559 
70 , 85024212,  85028090,  3878 , 2031115 
71 , 86037513,  86041401,  3888 , 2026612 
72 , 87048694,  87052595,  3901 , 2022375 
73 , 88057703,  88061614,  3911 , 2018028 
74 , 89064640,  89068562,  3922 , 2013885 
75 , 90069515,  90073446,  3931 , 2009759 
76 , 91072362,  91076305,  3943 , 2005706 
77 , 92073228,  92077180,  3952 , 2001741 
78 , 93072131,  93076096,  3965 , 1997819 
79 , 94069146,  94073121,  3975 , 1994040 
80 , 95064256,  95068242,  3986 , 1990231 
81 , 96057519,  96061516,  3997 , 1986537 
82 , 97048941,  97052948,  4007 , 1982854 
83 , 98038587,  98042606,  4019 , 1979304 
84 , 99026435,  99030464,  4029 , 1975706 
85 , 100012582,  100016621,  4039 , 1972304 
86 , 100996970,  101001022,  4052 , 1968789 
87 , 101979690,  101983751,  4061 , 1965449 
88 , 102960752,  102964825,  4073 , 1962136 
89 , 103940182,  103944265,  4083 , 1958870 
90 , 104918011,  104922104,  4093 , 1955668 
91 , 105894249,  105898354,  4105 , 1952488 
92 , 106868920,  106873037,  4117 , 1949354 
93 , 107842094,  107846219,  4125 , 1946356 
94 , 108813739,  108817878,  4139 , 1943304 
95 , 109783933,  109788081,  4148 , 1940397 
96 , 110752633,  110756792,  4159 , 1937411 
97 , 111719930,  111724099,  4169 , 1934604 
98 , 112685764,  112689944,  4180 , 1931679 
99 , 113650247,  113654438,  4191 , 1928977 
100 , 114613324,  114617526,  4202 , 1926165 
101 , 115575074,  115579287,  4213 , 1923511 
102 , 116535482,  116539706,  4224 , 1920827 
103 , 117494592,  117498827,  4235 , 1918231 
104 , 118452383,  118456628,  4245 , 1915592 
105 , 119408919,  119413175,  4256 , 1913083 
106 , 120364158,  120368425,  4267 , 1910489 
107 , 121318190,  121322468,  4278 , 1908075 
108 , 122270963,  122275250,  4287 , 1905555 
109 , 123222545,  123226844,  4299 , 1903176 
110 , 124172895,  124177205,  4310 , 1900711 
111 , 125122130,  125126452,  4322 , 1898482 
112 , 126070162,  126074494,  4332 , 1896074 
113 , 127017104,  127021445,  4341 , 1893893 
114 , 127962871,  127967225,  4354 , 1891547 
115 , 128907562,  128911925,  4363 , 1889391 
116 , 129851113,  129855486,  4373 , 1887112 
117 , 130793621,  130798006,  4385 , 1885028 
118 , 131735008,  131739405,  4397 , 1882786 
119 , 132675374,  132679781,  4407 , 1880742 
120 , 133614652,  133619070,  4418 , 1878567 
121 , 134552934,  134557362,  4428 , 1876574 
122 , 135490146,  135494586,  4440 , 1874436 
123 , 136426388,  136430837,  4449 , 1872493 
124 , 137361601,  137366063,  4462 , 1870439 
125 , 138295867,  138300337,  4470 , 1868540 
126 , 139229135,  139233618,  4483 , 1866549 
127 , 140161481,  140165974,  4493 , 1864702 
128 , 141092854,  141097359,  4505 , 1862758 
129 , 142023324,  142027837,  4513 , 1860948 
130 , 142952830,  142957355,  4525 , 1859024 
131 , 143881457,  143885993,  4536 , 1857265 
132 , 144809135,  144813682,  4547 , 1855367 
133 , 145735955,  145740511,  4556 , 1853649 
134 , 146661849,  146666418,  4569 , 1851801 
135 , 147586923,  147591504,  4581 , 1850160 
136 , 148511070,  148515661,  4591 , 1848304 
137 , 149434428,  149439030,  4602 , 1846727 
138 , 150356895,  150361508,  4613 , 1844945 
139 , 151278581,  151283203,  4622 , 1843381 
140 , 152199376,  152204010,  4634 , 1841602 
141 , 153119416,  153124059,  4643 , 1840089 
142 , 154038588,  154043244,  4656 , 1838357 
143 , 154957015,  154961681,  4666 , 1836864 
144 , 155874596,  155879273,  4677 , 1835173 
145 , 156791444,  156796132,  4688 , 1833707 
146 , 157707478,  157712178,  4700 , 1832080 
147 , 158622814,  158627523,  4709 , 1830681 
148 , 159537329,  159542050,  4721 , 1829042 
149 , 160451169,  160455899,  4730 , 1827689 
150 , 161364223,  161368964,  4741 , 1826119 
151 , 162276612,  162281363,  4751 , 1824788 
152 , 163188222,  163192986,  4764 , 1823233 
153 , 164099161,  164103936,  4775 , 1821889 
154 , 165009337,  165014122,  4785 , 1820362 
155 , 165918874,  165923668,  4794 , 1819083 
156 , 166827644,  166832451,  4807 , 1817553 
157 , 167735793,  167740610,  4817 , 1816308 
158 , 168643196,  168648024,  4828 , 1814817 
159 , 169549973,  169554810,  4837 , 1813563 
160 , 170456039,  170460891,  4852 , 1812147 
161 , 171361487,  171366347,  4860 , 1810904 
162 , 172266241,  172271112,  4871 , 1809519 
163 , 173170390,  173175271,  4881 , 1808308 
164 , 174073856,  174078749,  4893 , 1806944 
