Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  201 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1443591,  1446691,  3100 
1 , 3360267,  3363379,  3112 , 3833364 
2 , 5110277,  5113402,  3125 , 3500033 
3 , 6761117,  6764254,  3137 , 3301692 
4 , 8343416,  8346565,  3149 , 3164610 
5 , 9872009,  9875171,  3162 , 3057199 
6 , 11358167,  11361341,  3174 , 2972328 
7 , 12808008,  12811194,  3186 , 2899694 
8 , 14227634,  14230831,  3197 , 2839263 
9 , 15619953,  15623164,  3211 , 2784652 
10 , 16988956,  16992179,  3223 , 2738018 
11 , 18336224,  18339460,  3236 , 2694549 
12 , 19664400,  19667648,  3248 , 2656364 
13 , 20974595,  20977853,  3258 , 2620400 
14 , 22268961,  22272232,  3271 , 2588745 
15 , 23548059,  23551342,  3283 , 2558208 
16 , 24813558,  24816853,  3295 , 2531010 
17 , 26066004,  26069312,  3308 , 2504905 
18 , 27306715,  27310036,  3321 , 2481435 
19 , 28535857,  28539189,  3332 , 2458295 
20 , 29754515,  29757860,  3345 , 2437329 
21 , 30962926,  30966282,  3356 , 2416833 
22 , 32162008,  32165377,  3369 , 2398177 
23 , 33351760,  33355142,  3382 , 2379517 
24 , 34533057,  34536451,  3394 , 2362606 
25 , 35705986,  35709392,  3406 , 2345870 
26 , 36871271,  36874689,  3418 , 2330582 
27 , 38029001,  38032431,  3430 , 2315472 
28 , 39179733,  39183176,  3443 , 2301477 
29 , 40323511,  40326965,  3454 , 2287567 
30 , 41460915,  41464381,  3466 , 2274820 
31 , 42591857,  42595334,  3477 , 2261895 
32 , 43716876,  43720367,  3491 , 2250052 
33 , 44835951,  44839453,  3502 , 2238161 
34 , 45949500,  45953014,  3514 , 2227110 
35 , 47057573,  47061099,  3526 , 2216158 
36 , 48160531,  48164071,  3540 , 2205930 
37 , 49258378,  49261930,  3552 , 2195706 
38 , 50351467,  50355030,  3563 , 2186189 
39 , 51439807,  51443383,  3576 , 2176693 
40 , 52523682,  52527271,  3589 , 2167763 
41 , 53603027,  53606627,  3600 , 2158701 
42 , 54678265,  54681878,  3613 , 2150489 
43 , 55749289,  55752913,  3624 , 2142059 
44 , 56816436,  56820073,  3637 , 2134307 
45 , 57879540,  57883188,  3648 , 2126219 
46 , 58939021,  58942682,  3661 , 2118975 
47 , 59994678,  59998350,  3672 , 2111325 
48 , 61046812,  61050496,  3684 , 2104280 
49 , 62095378,  62099073,  3695 , 2097143 
50 , 63140639,  63144348,  3709 , 2090536 
51 , 64182513,  64186233,  3720 , 2083759 
52 , 65221231,  65224963,  3732 , 2077448 
53 , 66256691,  66260436,  3745 , 2070933 
54 , 67289178,  67292935,  3757 , 2064986 
55 , 68318577,  68322345,  3768 , 2058809 
56 , 69345199,  69348978,  3779 , 2053255 
57 , 70368864,  70372654,  3790 , 2047341 
58 , 71389812,  71393616,  3804 , 2041910 
59 , 72407979,  72411795,  3816 , 2036346 
60 , 73423559,  73427386,  3827 , 2031171 
61 , 74436446,  74440285,  3839 , 2025786 
62 , 75446888,  75450741,  3853 , 2020898 
63 , 76454748,  76458611,  3863 , 2015730 
64 , 77460267,  77464143,  3876 , 2011051 
65 , 78463318,  78467205,  3887 , 2006113 
66 , 79464100,  79468000,  3900 , 2001577 
67 , 80462523,  80466434,  3911 , 1996857 
68 , 81458748,  81462673,  3925 , 1992464 
69 , 82452751,  82456687,  3936 , 1988017 
70 , 83444644,  83448591,  3947 , 1983797 
71 , 84434377,  84438336,  3959 , 1979478 
72 , 85422115,  85426088,  3973 , 1975490 
73 , 86407764,  86411747,  3983 , 1971308 
74 , 87391491,  87395486,  3995 , 1967466 
75 , 88373230,  88377237,  4007 , 1963490 
76 , 89353093,  89357111,  4018 , 1959737 
77 , 90331033,  90335063,  4030 , 1955892 
78 , 91307121,  91311165,  4044 , 1952190 
79 , 92281375,  92285429,  4054 , 1948518 
80 , 93253865,  93257933,  4068 , 1944994 
81 , 94224587,  94228664,  4077 , 1941453 
82 , 95193591,  95197683,  4092 , 1938023 
83 , 96160928,  96165031,  4103 , 1934685 
84 , 97126615,  97130730,  4115 , 1931386 
85 , 98090644,  98094769,  4125 , 1928068 
86 , 99053091,  99057229,  4138 , 1924907 
87 , 100013947,  100018097,  4150 , 1921724 
88 , 100973261,  100977423,  4162 , 1918640 
89 , 101931036,  101935210,  4174 , 1915562 
90 , 102887343,  102891530,  4187 , 1912627 
91 , 103842145,  103846341,  4196 , 1909613 
92 , 104795508,  104799719,  4211 , 1906741 
93 , 105747407,  105751627,  4220 , 1903807 
94 , 106697947,  106702179,  4232 , 1901092 
95 , 107647048,  107651293,  4245 , 1898215 
96 , 108594806,  108599063,  4257 , 1895528 
97 , 109541179,  109545447,  4268 , 1892757 
98 , 110486262,  110490544,  4282 , 1890180 
99 , 111429980,  111434274,  4294 , 1887448 
100 , 112372462,  112376768,  4306 , 1884976 
101 , 113313608,  113317925,  4317 , 1882303 
102 , 114253555,  114257886,  4331 , 1879908 
103 , 115192194,  115196536,  4342 , 1877289 
104 , 116129667,  116134022,  4355 , 1874959 
105 , 117065878,  117070243,  4365 , 1872432 
106 , 118000954,  118005331,  4377 , 1870164 
107 , 118934824,  118939213,  4389 , 1867752 
108 , 119867602,  119872005,  4403 , 1865570 
109 , 120799229,  120803642,  4413 , 1863264 
110 , 121729781,  121734207,  4426 , 1861117 
111 , 122659204,  122663639,  4435 , 1858855 
112 , 123587579,  123592028,  4449 , 1856764 
113 , 124514842,  124519303,  4461 , 1854538 
114 , 125441083,  125445557,  4474 , 1852495 
115 , 126366221,  126370704,  4483 , 1850285 
116 , 127290371,  127294869,  4498 , 1848315 
117 , 128213471,  128217980,  4509 , 1846211 
118 , 129135583,  129140105,  4522 , 1844237 
119 , 130056680,  130061211,  4531 , 1842203 
120 , 130976822,  130981366,  4544 , 1840297 
121 , 131895963,  131900519,  4556 , 1838294 
122 , 132814199,  132818767,  4568 , 1836484 
123 , 133731420,  133736001,  4581 , 1834455 
124 , 134647783,  134652377,  4594 , 1832739 
125 , 135563148,  135567754,  4606 , 1830742 
126 , 136477675,  136482293,  4618 , 1829066 
127 , 137391214,  137395842,  4628 , 1827088 
128 , 138303939,  138308581,  4642 , 1825464 
129 , 139215710,  139220364,  4654 , 1823554 
130 , 140126686,  140131352,  4666 , 1821964 
131 , 141036744,  141041421,  4677 , 1820127 
132 , 141946005,  141950693,  4688 , 1818533 
133 , 142854410,  142859111,  4701 , 1816823 
134 , 143761999,  143766712,  4713 , 1815190 
135 , 144668746,  144673471,  4725 , 1813506 
136 , 145574723,  145579461,  4738 , 1811967 
137 , 146479883,  146484632,  4749 , 1810331 
138 , 147384276,  147389038,  4762 , 1808799 
139 , 148287896,  148292670,  4774 , 1807252 
140 , 149190726,  149195512,  4786 , 1805672 
141 , 150092810,  150097608,  4798 , 1804180 
142 , 150994138,  150998949,  4811 , 1802669 
143 , 151894749,  151899569,  4820 , 1801231 
144 , 152794619,  152799453,  4834 , 1799754 
145 , 153693767,  153698613,  4846 , 1798308 
146 , 154592201,  154597060,  4859 , 1796881 
147 , 155489912,  155494782,  4870 , 1795433 
148 , 156386923,  156391805,  4882 , 1794034 
149 , 157283227,  157288122,  4895 , 1792621 
150 , 158178852,  158183760,  4908 , 1791263 
151 , 159073795,  159078712,  4917 , 1789895 
152 , 159968050,  159972981,  4931 , 1788524 
153 , 160861658,  160866600,  4942 , 1787227 
154 , 161754611,  161759567,  4956 , 1785920 
155 , 162646913,  162651878,  4965 , 1784613 
156 , 163538571,  163543549,  4978 , 1783329 
157 , 164429576,  164434567,  4991 , 1782023 
158 , 165319948,  165324952,  5004 , 1780757 
159 , 166209704,  166214718,  5014 , 1779522 
160 , 167098841,  167103869,  5028 , 1778288 
161 , 167987342,  167992380,  5038 , 1777012 
162 , 168875253,  168880304,  5051 , 1775835 
163 , 169762542,  169767606,  5064 , 1774591 
164 , 170649247,  170654322,  5075 , 1773421 
165 , 171535343,  171540431,  5088 , 1772205 
166 , 172420872,  172425973,  5101 , 1771071 
167 , 173305809,  173310920,  5111 , 1769884 
168 , 174190175,  174195302,  5127 , 1768748 
169 , 175073961,  175079096,  5135 , 1767580 
170 , 175957194,  175962343,  5149 , 1766480 
171 , 176839842,  176845002,  5160 , 1765307 
172 , 177721971,  177727144,  5173 , 1764271 
173 , 178603520,  178608706,  5186 , 1763111 
174 , 179484555,  179489753,  5198 , 1762082 
175 , 180365019,  180370229,  5210 , 1760940 
176 , 181244964,  181250188,  5224 , 1759904 
177 , 182124365,  182129601,  5236 , 1758814 
