Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  310 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1256615,  1260101,  3486 
1 , 3266331,  3269837,  3506 , 4019452 
2 , 5099552,  5103080,  3528 , 3666464 
3 , 6833752,  6837302,  3550 , 3468422 
4 , 8491995,  8495564,  3569 , 3316505 
5 , 10093286,  10096877,  3591 , 3202604 
6 , 11648149,  11651762,  3613 , 3109748 
7 , 13164559,  13168192,  3633 , 3032840 
8 , 14647345,  14651001,  3656 , 2965595 
9 , 16101978,  16105653,  3675 , 2909285 
10 , 17530864,  17534561,  3697 , 2857794 
11 , 18937186,  18940904,  3718 , 2812665 
12 , 20323057,  20326796,  3739 , 2771763 
13 , 21690126,  21693887,  3761 , 2734160 
14 , 23040815,  23044598,  3783 , 2701400 
15 , 24375148,  24378951,  3803 , 2668686 
16 , 25695242,  25699067,  3825 , 2640210 
17 , 27001853,  27005698,  3845 , 2613242 
18 , 28296212,  28300078,  3866 , 2588739 
19 , 29578968,  29582855,  3887 , 2565533 
20 , 30850573,  30854482,  3909 , 2543232 
21 , 32111960,  32115891,  3931 , 2522796 
22 , 33363549,  33367498,  3949 , 2503196 
23 , 34606225,  34610195,  3970 , 2485373 
24 , 35840073,  35844064,  3991 , 2467717 
25 , 37065399,  37069411,  4012 , 2450673 
26 , 38283135,  38287167,  4032 , 2435492 
27 , 39493028,  39497081,  4053 , 2419807 
28 , 40696008,  40700083,  4075 , 2405982 
29 , 41892046,  41896141,  4095 , 2392096 
30 , 43081492,  43085608,  4116 , 2378913 
31 , 44264703,  44268839,  4136 , 2366442 
32 , 45442010,  45446168,  4158 , 2354636 
33 , 46613349,  46617527,  4178 , 2342698 
34 , 47779445,  47783645,  4200 , 2332214 
35 , 48939948,  48944167,  4219 , 2321025 
36 , 50095556,  50099797,  4241 , 2311238 
37 , 51245994,  51250256,  4262 , 2300897 
38 , 52391845,  52396127,  4282 , 2291722 
