Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  201 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1308078,  1311197,  3119 
1 , 3262528,  3265656,  3128 , 3908909 
2 , 5042171,  5045312,  3141 , 3559299 
3 , 6725297,  6728447,  3150 , 3366261 
4 , 8338410,  8341572,  3162 , 3226238 
5 , 9898470,  9901643,  3173 , 3120131 
6 , 11415009,  11418195,  3186 , 3033091 
7 , 12895640,  12898836,  3196 , 2961272 
8 , 14345054,  14348262,  3208 , 2898840 
9 , 15767355,  15770575,  3220 , 2844614 
10 , 17165395,  17168626,  3231 , 2796091 
11 , 18541988,  18545230,  3242 , 2753197 
12 , 19898979,  19902232,  3253 , 2713993 
13 , 21238296,  21241559,  3263 , 2678644 
14 , 22560963,  22564239,  3276 , 2645347 
15 , 23868632,  23871919,  3287 , 2615349 
16 , 25162040,  25165337,  3297 , 2586826 
17 , 26442535,  26445843,  3308 , 2561001 
18 , 27710580,  27713900,  3320 , 2536102 
19 , 28967147,  28970477,  3330 , 2513144 
20 , 30212638,  30215980,  3342 , 2490994 
21 , 31448238,  31451591,  3353 , 2471211 
22 , 32673962,  32677328,  3366 , 2451461 
23 , 33890654,  33894029,  3375 , 2433393 
24 , 35098561,  35101948,  3387 , 2415826 
25 , 36298249,  36301646,  3397 , 2399386 
26 , 37489975,  37493384,  3409 , 2383464 
27 , 38674235,  38677654,  3419 , 2368530 
28 , 39851166,  39854597,  3431 , 2353874 
29 , 41021209,  41024650,  3441 , 2340096 
30 , 42184491,  42187945,  3454 , 2326577 
31 , 43341436,  43344899,  3463 , 2313899 
32 , 44492138,  44495613,  3475 , 2301416 
33 , 45636944,  45640428,  3484 , 2289621 
34 , 46775966,  46779463,  3497 , 2278057 
35 , 47909489,  47912997,  3508 , 2267057 
36 , 49037530,  49041049,  3519 , 2256093 
37 , 50160440,  50163971,  3531 , 2245832 
38 , 51278263,  51281807,  3544 , 2235659 
39 , 52391306,  52394859,  3553 , 2226095 
40 , 53499473,  53503038,  3565 , 2216346 
41 , 54603292,  54606867,  3575 , 2207648 
42 , 55702616,  55706203,  3587 , 2198660 
43 , 56797855,  56801451,  3596 , 2190487 
44 , 57888622,  57892231,  3609 , 2181547 
45 , 58975803,  58979422,  3619 , 2174372 
46 , 60058712,  60062342,  3630 , 2165829 
47 , 61138151,  61141793,  3642 , 2158890 
48 , 62213714,  62217366,  3652 , 2151136 
49 , 63285814,  63289477,  3663 , 2144211 
50 , 64354345,  64358019,  3674 , 2137073 
51 , 65419475,  65423160,  3685 , 2130271 
52 , 66481224,  66484920,  3696 , 2123509 
53 , 67539764,  67543470,  3706 , 2117090 
54 , 68595114,  68598832,  3718 , 2110712 
55 , 69647419,  69651147,  3728 , 2104620 
56 , 70696644,  70700384,  3740 , 2098462 
57 , 71742933,  71746683,  3750 , 2092588 
58 , 72786255,  72790017,  3762 , 2086656 
59 , 73826805,  73830578,  3773 , 2081111 
