1000;2313400,00;4100,00;5405600,00;nsec.
5000;61964200,00;20000,00;127512700,00;nsec.
10000;250629400,00;40400,00;545650500,00;nsec.
15000;603959800,00;60600,00;1240672600,00;nsec.
25000;1628382900,00;112200,00;3443091000,00;nsec.
50000;6688791200,00;200700,00;13718674400,00;nsec.
75000;14806128400,00;324000,00;30408720900,00;nsec.
100000;26236997700,00;442400,00;52325984400,00;nsec.
150000;58403468000,00;604800,00;114906708400,00;nsec.
250000;160942023200,00;1043600,00;316826421300,00;nsec.
