1000;95400;27400;29300;nsec.
5000;528700;157800;176400;nsec.
10000;1124800;353200;380000;nsec.
15000;1778600;538400;580000;nsec.
25000;3077500;992500;1096200;nsec.
50000;6663600;2046200;2170900;nsec.
75000;10186000;3011700;3153300;nsec.
100000;14011600;4427300;4663900;nsec.
150000;21642000;6448500;6809200;nsec.
250000;37808700;11321900;11644400;nsec.
