Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  279 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1439067,  1442294,  3227 
128 , 138321390,  138326698,  5308 , 1840806 
129 , 139240935,  139246259,  5324 , 1839106 
130 , 140159785,  140165124,  5339 , 1837715 
131 , 141077817,  141083171,  5354 , 1836079 
132 , 141995192,  142000563,  5371 , 1834767 
133 , 142911743,  142917132,  5389 , 1833120 
134 , 143827675,  143833080,  5405 , 1831880 
135 , 144742805,  144748225,  5420 , 1830275 
136 , 145657326,  145662763,  5437 , 1829059 
137 , 146571041,  146576494,  5453 , 1827446 
138 , 147484182,  147489652,  5470 , 1826299 
139 , 148396523,  148402009,  5486 , 1824698 
140 , 149308286,  149313789,  5503 , 1823543 
141 , 150219300,  150224819,  5519 , 1822044 
142 , 151129732,  151135268,  5536 , 1820881 
143 , 152039414,  152044966,  5552 , 1819380 
144 , 152948512,  152954081,  5569 , 1818213 
145 , 153856930,  153862514,  5584 , 1816851 
146 , 154764764,  154770365,  5601 , 1815685 
147 , 155671918,  155677535,  5617 , 1814324 
148 , 156578518,  156584152,  5634 , 1813217 
149 , 157484437,  157490087,  5650 , 1811854 
150 , 158389828,  158395495,  5667 , 1810799 
151 , 159294556,  159300237,  5681 , 1809470 
152 , 160198811,  160204513,  5702 , 1808531 
153 , 161102316,  161108031,  5715 , 1807023 
154 , 162005434,  162011167,  5733 , 1806254 
155 , 162907802,  162913552,  5750 , 1804753 
156 , 163809800,  163815568,  5768 , 1804014 
157 , 164710999,  164716781,  5782 , 1802412 
158 , 165611900,  165617701,  5801 , 1801821 
159 , 166511992,  166517807,  5815 , 1800198 
160 , 167411817,  167417649,  5832 , 1799667 
161 , 168310830,  168316680,  5850 , 1798044 
162 , 169209561,  169215428,  5867 , 1797479 
163 , 170107562,  170113443,  5881 , 1796016 
164 , 171005259,  171011160,  5901 , 1795414 
165 , 171902218,  171908132,  5914 , 1793931 
166 , 172798887,  172804821,  5934 , 1793358 
167 , 173694839,  173700787,  5948 , 1791918 
168 , 174590507,  174596472,  5965 , 1791353 
169 , 175485503,  175491482,  5979 , 1790006 
170 , 176380175,  176386174,  5999 , 1789364 
171 , 177274217,  177280233,  6016 , 1788101 
172 , 178167938,  178173972,  6034 , 1787460 
173 , 179061046,  179067093,  6047 , 1786229 
174 , 179953833,  179959899,  6066 , 1785593 
175 , 180846035,  180852116,  6081 , 1784419 
176 , 181737915,  181744013,  6098 , 1783777 
177 , 182629200,  182635316,  6116 , 1782588 
178 , 183520164,  183526295,  6131 , 1781943 
179 , 184410571,  184416718,  6147 , 1780830 
180 , 185300657,  185306822,  6165 , 1780190 
181 , 186190204,  186196386,  6182 , 1779111 
182 , 187079422,  187085619,  6197 , 1778451 
183 , 187968116,  187974329,  6213 , 1777404 
