Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  232 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1742417,  1745895,  3478 
1 , 3787914,  3791414,  3500 , 4091016 
2 , 5633790,  5637313,  3523 , 3691775 
3 , 7372637,  7376177,  3540 , 3477711 
4 , 9033667,  9037231,  3564 , 3322084 
5 , 10637356,  10640940,  3584 , 3207398 
6 , 12192541,  12196148,  3607 , 3110393 
7 , 13709432,  13713059,  3627 , 3033802 
8 , 15192175,  15195823,  3648 , 2965507 
9 , 16646932,  16650601,  3669 , 2909535 
10 , 18074907,  18078597,  3690 , 2855971 
11 , 19480682,  19484394,  3712 , 2811572 
12 , 20865138,  20868871,  3733 , 2768933 
13 , 22231249,  22235002,  3753 , 2732242 
14 , 23579812,  23583586,  3774 , 2697147 
15 , 24912899,  24916695,  3796 , 2666196 
16 , 26231125,  26234942,  3817 , 2636473 
17 , 27536120,  27539959,  3839 , 2610012 
18 , 28828167,  28832029,  3862 , 2584117 
19 , 30108543,  30112425,  3882 , 2560772 
20 , 31377597,  31381500,  3903 , 2538129 
21 , 32636352,  32640276,  3924 , 2517531 
22 , 33885151,  33889095,  3944 , 2497618 
23 , 35124741,  35128707,  3966 , 2479202 
24 , 36355473,  36359461,  3988 , 2461486 
25 , 37577897,  37581906,  4009 , 2444869 
26 , 38792307,  38796337,  4030 , 2428841 
27 , 39999151,  40003201,  4050 , 2413708 
28 , 41198864,  41202935,  4071 , 2399447 
29 , 42391563,  42395657,  4094 , 2385421 
30 , 43577805,  43581921,  4116 , 2372506 
31 , 44757615,  44761750,  4135 , 2359639 
32 , 45931442,  45935598,  4156 , 2347675 
33 , 47099390,  47103568,  4178 , 2335918 
34 , 48261772,  48265970,  4198 , 2324784 
35 , 49418759,  49422977,  4218 , 2313994 
36 , 50570653,  50574893,  4240 , 2303810 
37 , 51717435,  51721697,  4262 , 2293586 
38 , 52859538,  52863820,  4282 , 2284226 
39 , 53996866,  54001170,  4304 , 2274678 
40 , 55129867,  55134192,  4325 , 2266023 
41 , 56258424,  56262768,  4344 , 2257133 
42 , 57382909,  57387275,  4366 , 2248992 
43 , 58503261,  58507647,  4386 , 2240724 
44 , 59619802,  59624211,  4409 , 2233105 
45 , 60732354,  60736784,  4430 , 2225125 
46 , 61841415,  61845866,  4451 , 2218143 
47 , 62946737,  62951208,  4471 , 2210664 
48 , 64048714,  64053207,  4493 , 2203976 
49 , 65147224,  65151738,  4514 , 2197041 
50 , 66242523,  66247058,  4535 , 2190619 
51 , 67334580,  67339136,  4556 , 2184135 
