t (s),V (mV)
0,0.118984
0.97,0.117034
1.9,0.115671
2.845,0.113865
3.845,0.112363
4.845,0.110959
5.846,0.109356
6.845,0.108331
7.986,0.106954
8.845,0.105915
9.845,0.105279
10.845,0.104145
11.845,0.102749
12.845,0.101748
13.845,0.100949
14.846,0.0996491
15.845,0.0990324
16.845,0.098326
17.846,0.0972545
18.845,0.0963854
19.985,0.0952665
20.845,0.0947914
21.845,0.0942922
22.846,0.0932786
23.845,0.0921642
24.845,0.0917499
25.845,0.0903792
26.846,0.0895413
27.846,0.0884936
28.845,0.0877533
29.846,0.0869807
30.845,0.0861339
31.985,0.0853469
32.846,0.0845998
33.845,0.0840239
34.845,0.083549
35.846,0.0829502
36.846,0.0819788
37.845,0.0812004
38.846,0.080908
39.845,0.0800584
40.845,0.0794189
41.845,0.0790833
42.846,0.0782222
43.986,0.0774712
44.845,0.0767358
45.846,0.0765013
46.845,0.0759404
47.846,0.0754013
48.845,0.0748288
49.845,0.0747395
50.845,0.0739467
51.845,0.0732417
52.846,0.0724802
53.845,0.072261
54.846,0.071577
55.985,0.071019
56.846,0.0705236
57.845,0.0699788
58.846,0.0694835
59.845,0.0687289
60.846,0.0679573
61.846,0.0675164
62.845,0.0671951
63.846,0.0663734
64.845,0.0657433
65.846,0.0655241
66.845,0.0647559
67.985,0.0644613
68.846,0.0638344
69.845,0.0630246
70.845,0.0627062
71.846,0.0619599
72.846,0.0610987
73.845,0.0610717
74.846,0.0604732
75.845,0.0597769
76.845,0.0594266
77.846,0.0589199
78.845,0.0588521
79.985,0.0581237
80.845,0.0581078
81.845,0.0572799
82.845,0.0572482
83.846,0.0566479
84.845,0.0560569
85.846,0.0555516
86.845,0.0546803
87.846,0.0543993
88.845,0.0537464
89.845,0.0533805
90.846,0.0527874
91.986,0.0522918
92.845,0.0513435
93.845,0.051343
94.846,0.0516278
95.845,0.0506705
96.846,0.050609
97.845,0.0501727
98.845,0.049451
99.845,0.0485097
100.846,0.0482024
101.845,0.0480332
102.845,0.0472957
103.985,0.0468908
104.845,0.04627
105.844,0.0457564
106.845,0.0455151
107.845,0.0450957
108.845,0.0447269
109.845,0.0438588
