t (s),V (mV)
0,2.03403
0.989,2.02591
1.988,2.01925
2.989,2.01198
3.989,2.00545
4.988,1.99903
5.988,1.99257
6.988,1.98666
7.989,1.98058
8.988,1.9743
10.129,1.96691
10.989,1.96195
11.988,1.956
12.988,1.95042
13.989,1.94467
14.988,1.93953
15.988,1.93332
16.989,1.92802
17.988,1.92215
18.988,1.91638
19.988,1.91078
20.988,1.90552
22.129,1.89914
22.988,1.89471
23.988,1.88982
24.988,1.88421
25.988,1.87936
26.989,1.87393
27.988,1.86873
28.988,1.86323
29.989,1.85861
30.988,1.85346
31.988,1.84818
32.989,1.84338
34.129,1.83757
34.988,1.83356
35.988,1.82843
36.989,1.82366
37.988,1.81877
38.989,1.81408
39.988,1.80971
40.989,1.80503
41.988,1.80015
42.989,1.79509
43.988,1.79049
44.989,1.78557
46.129,1.78072
46.988,1.77683
47.989,1.77226
48.988,1.76747
49.988,1.76317
50.988,1.7587
51.988,1.75412
52.989,1.74945
53.989,1.74519
54.988,1.74062
55.989,1.73649
56.988,1.73184
58.128,1.7271
58.989,1.72303
59.988,1.71871
60.988,1.71472
61.989,1.71023
62.988,1.70593
63.989,1.70166
64.988,1.69727
65.988,1.69328
66.988,1.68909
67.989,1.68488
68.988,1.68076
70.128,1.67561
70.988,1.67233
71.989,1.66823
72.988,1.66384
73.988,1.66006
74.989,1.65573
75.988,1.65169
76.989,1.64745
77.988,1.64331
78.989,1.63915
79.988,1.63505
80.989,1.63098
82.128,1.62626
82.989,1.62238
83.988,1.61856
84.989,1.61453
85.988,1.61064
86.989,1.60662
87.988,1.60226
88.989,1.59846
89.988,1.59456
90.989,1.5905
91.988,1.58658
92.989,1.5827
94.129,1.57805
94.988,1.57507
95.988,1.57119
96.988,1.56758
97.988,1.56359
98.988,1.55937
99.989,1.5561
100.988,1.55231
101.989,1.54844
102.988,1.54501
103.988,1.54086
104.989,1.53694
106.129,1.53243
106.988,1.52942
107.989,1.52547
108.988,1.5218
109.989,1.51757
110.988,1.51371
111.989,1.50995
112.988,1.50575
113.988,1.5024
114.989,1.49817
115.988,1.49434
116.988,1.49037
118.128,1.48639
118.988,1.48272
119.988,1.4788
120.989,1.47551
121.988,1.47142
122.989,1.46796
123.989,1.46428
124.988,1.46045
125.989,1.45691
126.988,1.45322
127.989,1.44944
128.988,1.44575
130.128,1.44163
130.988,1.43855
131.988,1.43482
132.989,1.43098
133.988,1.42735
134.989,1.42349
135.989,1.41985
136.988,1.41623
137.989,1.41284
138.989,1.40921
139.988,1.40546
140.989,1.4021
142.129,1.39773
142.988,1.3947
143.989,1.39098
144.988,1.38728
145.989,1.38356
146.989,1.37998
147.988,1.37622
148.989,1.37309
149.989,1.36933
150.988,1.36563
151.988,1.36235
152.989,1.35889
154.129,1.35487
154.989,1.35235
155.988,1.34856
156.988,1.34494
157.989,1.34189
158.988,1.33837
159.988,1.33529
160.989,1.33214
161.988,1.32838
162.988,1.32485
163.989,1.32128
164.988,1.31762
166.128,1.314
166.988,1.31083
167.989,1.30736
168.988,1.30432
169.988,1.3009
170.989,1.2979
171.989,1.29456
172.988,1.29149
173.988,1.2884
174.989,1.28517
175.989,1.28178
176.988,1.27909
178.129,1.27453
178.988,1.27198
179.989,1.26845
180.988,1.26555
181.989,1.26222
182.989,1.25877
183.988,1.25524
184.989,1.25209
185.989,1.24871
186.988,1.24464
187.989,1.24184
188.989,1.23843
190.129,1.23475
190.988,1.23182
191.989,1.22871
192.988,1.22529
193.989,1.22161
194.988,1.21855
195.989,1.21515
196.988,1.21179
197.989,1.20852
198.988,1.20517
199.989,1.20167
200.988,1.19846
202.128,1.19489
202.988,1.19204
203.989,1.18886
204.988,1.18557
205.988,1.18203
206.988,1.17884
207.988,1.17542
208.989,1.17261
209.988,1.16955
210.989,1.16636
211.988,1.16352
212.988,1.16048
214.128,1.15687
214.988,1.15386
215.988,1.15059
216.989,1.14747
217.988,1.1443
218.989,1.14109
219.989,1.13837
220.988,1.13538
221.989,1.13214
222.988,1.12849
223.989,1.12573
224.988,1.12234
226.128,1.11902
226.988,1.11606
227.988,1.11315
228.989,1.10995
229.988,1.10664
230.989,1.10336
231.988,1.10055
232.988,1.09761
233.989,1.09433
234.988,1.09148
235.989,1.08821
236.988,1.08501
238.128,1.08122
238.989,1.07836
239.988,1.07534
240.988,1.07216
241.988,1.06924
242.989,1.06597
243.988,1.06307
244.989,1.06021
245.989,1.05711
246.988,1.05399
247.989,1.05132
248.988,1.04805
250.128,1.04491
250.988,1.0423
251.989,1.03961
252.988,1.03626
253.989,1.0336
254.989,1.03068
255.988,1.02796
256.989,1.02467
257.988,1.02196
258.988,1.0193
259.989,1.01628
260.988,1.0132
262.128,1.0098
262.988,1.00709
263.988,1.00398
264.988,1.00135
265.989,0.998207
266.989,0.995499
267.988,0.992623
268.988,0.989332
