t (s),V (mV)
0,1.54992
1.001,1.54314
2.001,1.53661
3,1.52993
4,1.52356
5,1.51743
6.001,1.51144
7.001,1.50555
8.001,1.49961
9.14,1.49273
10,1.48843
11.001,1.48264
12,1.4771
13,1.47166
14.001,1.46626
15,1.46114
16.001,1.45606
16.999,1.45084
17.999,1.44574
19,1.44082
20.001,1.43605
21.141,1.43061
22,1.42617
23,1.42134
24.001,1.41667
25,1.41239
26,1.40756
27.001,1.40317
28.001,1.39869
29.001,1.39448
30,1.38974
31,1.38581
32.001,1.38145
33.141,1.37614
34,1.37271
35,1.3686
36,1.36444
37,1.36013
38,1.35592
39.001,1.35221
40,1.34783
41.001,1.3438
42,1.34001
43.001,1.33597
44,1.33216
45.141,1.32802
46,1.32401
47.001,1.32014
48,1.31597
49.001,1.31244
50,1.30903
51,1.30518
52,1.30166
53,1.29782
54.001,1.29419
55,1.29016
56.001,1.28698
57.141,1.28268
58,1.27944
59,1.27582
60.001,1.27186
61,1.26883
62.001,1.26481
63.001,1.26162
64,1.25808
65.001,1.25451
66,1.25134
67,1.24718
68,1.24422
69.14,1.24003
70.001,1.23674
71,1.23321
72,1.22988
73.001,1.22624
74.001,1.22289
75,1.21904
76,1.21572
77.001,1.21241
78,1.20901
79.001,1.20534
80,1.20226
81.14,1.19828
82.001,1.19545
83,1.19223
84,1.1894
85.001,1.18596
86,1.18249
87.001,1.17912
88.001,1.17624
89,1.17294
90.001,1.16975
91,1.16607
92.001,1.16283
93.14,1.1591
94.001,1.15639
95,1.15304
96.001,1.15004
97,1.14677
98.001,1.14425
99,1.1408
100.001,1.13773
101,1.13469
102.001,1.13182
103,1.12919
104.001,1.12604
105.141,1.12231
106.001,1.1195
107,1.1168
108.001,1.11345
109.001,1.11021
110,1.10692
111.001,1.10386
112,1.10075
113,1.09792
114,1.09479
115.001,1.09171
116,1.08874
117.141,1.08532
118,1.0827
119,1.07963
120,1.07637
121.001,1.07373
122,1.07042
123.001,1.06725
124,1.06437
125.001,1.06114
126.001,1.05804
127,1.05557
128.001,1.05268
129.141,1.04904
130,1.04626
131.001,1.04358
132,1.04101
133,1.03741
134.001,1.03467
135,1.03177
136.001,1.02875
137,1.02603
138,1.0228
139.001,1.01974
140,1.01666
141.141,1.0139
142,1.01109
143.001,1.00855
144,1.00536
145.001,1.00259
146.001,0.999999
147,0.997017
148,0.99494
149.001,0.991745
150,0.988991
151,0.986351
152.001,0.983542
153.141,0.980663
154,0.978299
155,0.975415
156.001,0.972542
157,0.969519
158,0.966764
159.001,0.964382
160.001,0.960966
161,0.95861
162,0.956469
163.001,0.953462
164,0.951027
165.141,0.947973
166,0.945314
167,0.942627
168.001,0.939428
169,0.936596
170,0.9346
171.001,0.931737
172,0.928811
173,0.926331
174.001,0.923528
175,0.920942
176,0.918531
177.14,0.915606
178.001,0.913492
179,0.910729
180,0.908552
181.001,0.905505
182.001,0.903204
183,0.900485
184,0.897858
185,0.895256
186,0.892495
187.001,0.890059
188.001,0.887328
189.14,0.884559
190.001,0.882171
191,0.879674
192,0.8769
193.001,0.874106
194,0.871953
195.001,0.869222
196,0.866839
197,0.864461
198.001,0.861866
199,0.859502
200.001,0.857005
201.141,0.854196
202,0.852046
203,0.849351
204,0.847024
205.001,0.84441
206,0.841977
207.001,0.839434
208.001,0.836434
209,0.834118
210.001,0.831374
211,0.828987
212,0.826458
213.14,0.823608
214,0.821652
215.001,0.81913
216,0.816876
217.001,0.814184
218,0.811453
219,0.808974
220.001,0.806657
221,0.80386
222,0.801264
223.001,0.798721
224.001,0.796378
225.141,0.793777
226,0.791734
227.001,0.788944
228,0.786595
229.001,0.783732
230,0.781818
231,0.779682
232.001,0.777148
233,0.774605
234.001,0.772334
235,0.769899
236.001,0.767538
237.141,0.764513
238,0.762213
239.001,0.759835
240,0.757288
241.001,0.754701
242,0.752138
243.001,0.749861
244.001,0.747656
245,0.744294
246.001,0.742383
247,0.739972
248.001,0.737453
249.141,0.73457
250,0.732258
251,0.729889
252.001,0.727365
253,0.725479
254,0.722992
255.001,0.720602
256,0.718713
257.001,0.716441
258,0.713906
259,0.711552
260.001,0.709364
261.141,0.706975
262,0.704855
263.001,0.702257
264,0.700423
265,0.698473
266.001,0.696063
267,0.693783
268,0.691932
269.001,0.68956
270,0.687121
271,0.684963
272.001,0.682758
273.141,0.680652
274,0.678881
275,0.676136
276.001,0.6742
277,0.671544
278.001,0.669618
279.001,0.667616
280,0.664875
281.001,0.663101
282.001,0.661115
283,0.659326
284.001,0.657027
285.141,0.654462
286.001,0.652489
287,0.650462
288.001,0.648566
289.001,0.646437
290,0.644387
291.001,0.64204
292.001,0.640297
293,0.638182
294.001,0.636124
295.001,0.6343
295.999,0.632236
297.139,0.62989
