t (s),V (mV)
0,2.29179
0.97,2.28203
1.9,2.27336
2.851,2.26487
3.821,2.2568
4.819,2.2486
5.82,2.24054
6.819,2.23262
7.959,2.2234
8.82,2.21687
9.82,2.20931
10.819,2.2018
11.819,2.19433
12.819,2.18693
13.82,2.17986
14.82,2.17266
15.82,2.16567
16.819,2.15858
17.82,2.15152
18.82,2.14523
19.959,2.13717
20.82,2.13143
21.819,2.12472
22.819,2.11839
23.82,2.11185
24.819,2.10575
25.82,2.09923
26.82,2.09286
27.819,2.08651
28.82,2.08037
29.819,2.07425
30.82,2.06778
31.96,2.0605
32.82,2.05593
33.819,2.05018
34.82,2.04375
35.82,2.03761
36.819,2.03161
37.82,2.02578
38.819,2.01983
39.819,2.01399
40.82,2.00829
41.819,2.00243
42.82,1.99659
43.959,1.99019
44.819,1.98486
45.82,1.97932
46.819,1.97391
47.82,1.96843
48.819,1.96314
49.819,1.95767
50.82,1.95206
51.819,1.94688
52.819,1.94152
53.82,1.93612
54.819,1.93063
55.96,1.92473
56.819,1.92026
57.82,1.91495
58.819,1.91016
59.82,1.90464
60.819,1.89989
61.819,1.89476
62.82,1.88941
63.819,1.88447
64.819,1.87924
65.82,1.87435
66.819,1.8696
67.96,1.86364
68.819,1.85961
69.82,1.85474
70.819,1.84955
71.819,1.84497
72.82,1.83949
73.819,1.83454
74.82,1.82988
75.82,1.82506
76.819,1.82025
77.82,1.81493
78.819,1.80995
79.959,1.80436
80.819,1.79968
81.819,1.79492
82.82,1.78989
83.819,1.78524
84.82,1.78006
85.819,1.77561
86.82,1.77061
87.819,1.76571
88.819,1.76098
89.82,1.75617
90.819,1.75123
91.959,1.74596
92.82,1.74182
93.819,1.7369
94.82,1.73256
95.819,1.72753
96.82,1.72295
97.819,1.71818
98.82,1.71375
99.819,1.7091
100.82,1.704
101.82,1.6998
102.82,1.69466
103.959,1.68919
104.82,1.68539
105.819,1.68088
106.82,1.67639
107.82,1.67202
108.819,1.66757
109.82,1.66301
110.82,1.65844
111.819,1.65378
112.82,1.6492
113.82,1.64484
114.819,1.64056
115.959,1.63556
116.82,1.63176
117.819,1.62732
118.82,1.6232
119.819,1.61842
120.82,1.61413
121.82,1.60966
122.819,1.60529
123.82,1.60092
124.819,1.59636
125.819,1.59206
126.82,1.58792
127.96,1.58278
128.819,1.57913
129.82,1.57438
130.819,1.57038
131.819,1.56587
132.82,1.56186
133.819,1.55751
134.819,1.55312
135.82,1.54953
136.819,1.54473
137.819,1.54045
138.82,1.53655
139.959,1.53173
140.819,1.52799
141.82,1.52348
142.819,1.51926
143.82,1.51544
144.819,1.51138
145.82,1.50735
146.819,1.50313
147.819,1.49921
148.819,1.49509
149.819,1.49147
150.82,1.48678
151.96,1.48204
152.819,1.47881
153.82,1.4751
154.819,1.47067
155.82,1.46682
156.82,1.46244
157.819,1.45861
158.819,1.45462
159.82,1.45057
160.819,1.44669
161.819,1.44314
162.82,1.43866
163.96,1.43395
164.819,1.43076
165.819,1.42616
166.82,1.42231
167.819,1.41849
168.82,1.41427
169.819,1.41038
170.819,1.40652
171.82,1.4027
172.819,1.39869
173.819,1.39474
174.819,1.39111
175.959,1.38633
176.82,1.38297
177.819,1.3789
178.819,1.37463
179.82,1.37099
180.82,1.36696
181.819,1.36308
182.819,1.35917
183.82,1.35473
184.819,1.35124
185.819,1.34771
186.819,1.3441
187.959,1.33997
188.819,1.33682
189.819,1.33315
190.819,1.32946
191.82,1.32593
192.82,1.32259
193.819,1.31841
194.82,1.3149
195.819,1.31085
196.82,1.30731
197.819,1.30352
198.82,1.2994
199.96,1.29488
200.82,1.29219
201.819,1.28907
202.819,1.28504
203.82,1.28123
204.819,1.27809
205.82,1.27445
206.82,1.27063
207.819,1.26721
208.82,1.26337
209.82,1.25981
210.819,1.25668
211.959,1.25197
212.82,1.24913
213.819,1.24578
214.82,1.24192
215.82,1.23833
216.819,1.2348
217.82,1.23126
218.82,1.22744
219.819,1.22386
220.82,1.22041
221.819,1.21706
222.819,1.21381
223.959,1.20956
224.819,1.20639
225.819,1.20268
226.819,1.1995
227.819,1.19574
228.82,1.1922
229.819,1.18865
230.82,1.18523
231.819,1.18219
232.819,1.1786
233.82,1.17532
234.819,1.17177
235.959,1.16769
236.819,1.16494
237.82,1.16188
238.819,1.15816
239.819,1.15456
240.82,1.15143
241.819,1.1484
242.819,1.14514
243.82,1.14172
244.819,1.13816
245.819,1.13465
246.82,1.13177
247.96,1.12789
248.819,1.12492
249.82,1.12191
250.819,1.11877
251.819,1.11549
252.82,1.11215
253.819,1.10897
254.819,1.10603
255.82,1.10244
256.819,1.09983
257.819,1.09657
258.82,1.093
259.96,1.08944
260.819,1.08664
261.82,1.08344
262.82,1.08012
263.819,1.07648
264.82,1.07357
265.82,1.07018
266.819,1.06693
267.819,1.06417
268.82,1.06049
269.819,1.05741
270.819,1.05449
271.959,1.05055
272.819,1.04779
273.819,1.04496
274.82,1.0416
275.819,1.03843
276.819,1.03518
277.819,1.03203
278.82,1.02863
279.819,1.02582
280.819,1.02261
281.82,1.01956
282.82,1.01679
283.96,1.01301
284.819,1.01059
285.819,1.00706
286.82,1.00409
287.82,1.00118
288.819,0.997844
289.819,0.994625
290.82,0.991475
291.82,0.988515
