t (s),V (mV)
0,3.05958
0.775,3.04331
1.775,3.02805
2.775,3.01605
3.776,3.00453
4.775,2.9922
5.775,2.98113
6.775,2.96908
7.775,2.95731
8.776,2.94511
9.915,2.93247
10.776,2.92272
11.776,2.91161
12.775,2.90057
13.775,2.8897
14.775,2.87815
15.776,2.8671
16.775,2.85613
17.776,2.84513
18.776,2.8342
19.775,2.82333
20.776,2.81304
21.915,2.80061
22.776,2.79129
23.775,2.78096
24.776,2.76996
25.775,2.75936
26.775,2.74908
27.776,2.7382
28.775,2.72782
29.776,2.71736
30.775,2.70705
31.775,2.69725
32.775,2.68687
33.916,2.67512
34.775,2.66629
35.776,2.65635
36.775,2.64688
37.775,2.6368
38.775,2.62652
39.776,2.61656
40.775,2.60703
41.776,2.5971
42.775,2.58722
43.776,2.57747
44.775,2.56778
45.916,2.55668
46.775,2.5483
47.775,2.53885
48.775,2.52931
49.775,2.5194
50.776,2.50993
51.776,2.50077
52.775,2.49158
53.776,2.48226
54.775,2.47269
55.775,2.46323
56.776,2.45414
57.916,2.44348
58.775,2.43551
59.776,2.42657
60.775,2.41747
61.775,2.40852
62.776,2.39894
63.776,2.38969
64.775,2.38054
65.775,2.37196
66.776,2.36327
67.775,2.35474
68.776,2.34597
69.916,2.33513
70.775,2.32791
71.775,2.31925
72.776,2.31018
73.776,2.30141
74.775,2.29276
75.776,2.28383
76.775,2.27567
77.776,2.2665
78.775,2.25796
79.776,2.2491
80.775,2.24085
81.915,2.23108
82.775,2.22351
83.776,2.21516
84.775,2.20664
85.775,2.19826
86.776,2.19018
87.775,2.18159
88.776,2.17351
89.775,2.16497
90.776,2.15685
91.775,2.14877
92.776,2.1404
93.916,2.13126
94.776,2.1243
95.775,2.11574
96.776,2.10776
97.775,2.09955
98.775,2.09169
99.775,2.08357
100.775,2.07536
101.775,2.06789
102.776,2.05973
103.775,2.05166
104.776,2.04395
105.916,2.03524
106.776,2.02863
107.775,2.0205
108.776,2.01278
109.775,2.00527
110.776,1.99798
111.775,1.99045
112.775,1.98253
113.776,1.97498
114.775,1.96716
115.776,1.95937
116.775,1.95148
117.915,1.94312
118.776,1.93623
119.775,1.9289
120.775,1.92143
121.776,1.91401
122.775,1.90642
123.776,1.89924
124.775,1.89167
125.776,1.88433
126.776,1.8773
127.775,1.86991
128.776,1.86238
129.915,1.85438
130.776,1.84767
131.775,1.84068
132.775,1.83377
133.776,1.82643
134.775,1.81905
135.776,1.81303
136.775,1.80593
137.775,1.79844
138.776,1.79175
139.775,1.78448
140.776,1.77731
141.915,1.76925
142.775,1.76338
143.776,1.75626
144.775,1.74931
145.775,1.74229
146.776,1.73553
147.775,1.72885
148.776,1.72203
149.776,1.71513
150.775,1.7086
151.775,1.70153
152.776,1.69479
153.916,1.68717
154.775,1.68165
155.776,1.67457
156.776,1.66805
157.775,1.6614
158.776,1.65503
159.776,1.64825
160.775,1.64116
161.776,1.63487
162.776,1.62835
163.775,1.62169
164.776,1.61552
165.916,1.60788
166.775,1.60265
167.776,1.59587
168.776,1.58942
169.775,1.58302
170.776,1.57666
171.775,1.57048
172.775,1.56399
173.776,1.55753
174.775,1.55087
175.775,1.54523
176.775,1.53855
177.915,1.53153
178.775,1.52641
179.775,1.5201
180.776,1.51371
181.776,1.50751
182.775,1.5015
183.775,1.49509
184.775,1.48901
185.774,1.48252
