t (s),V (mV)
0,0.462536
1.089,0.442829
2.099,0.431777
3.114,0.427811
4.254,0.425227
5.114,0.422902
6.114,0.420398
7.115,0.419047
8.114,0.417376
9.114,0.416119
10.115,0.413847
11.115,0.413048
12.115,0.410858
13.114,0.409159
14.114,0.407581
15.114,0.40627
16.254,0.404336
17.114,0.403386
18.114,0.402354
19.114,0.400663
20.115,0.399199
21.115,0.397634
22.115,0.396435
23.114,0.395248
24.114,0.393599
25.114,0.392168
26.115,0.390404
27.115,0.389382
28.255,0.38769
29.114,0.386924
30.114,0.385159
31.114,0.383931
32.115,0.3825
33.115,0.380909
34.115,0.379994
35.114,0.378739
36.114,0.377602
37.114,0.376291
38.115,0.37499
39.115,0.373435
40.255,0.372211
41.115,0.370656
42.114,0.369968
43.114,0.368084
44.114,0.366684
45.114,0.365676
46.115,0.364506
47.115,0.363296
48.114,0.362014
49.114,0.360968
50.114,0.359803
51.114,0.358587
52.254,0.357088
53.115,0.356159
54.114,0.354604
55.114,0.353789
56.114,0.35235
57.114,0.350823
58.114,0.350171
59.114,0.34895
60.115,0.347567
61.115,0.346633
62.115,0.345705
63.114,0.344475
64.254,0.342955
65.115,0.342396
66.115,0.341447
67.115,0.340463
68.114,0.33935
69.114,0.337953
70.114,0.336772
71.114,0.335723
72.114,0.334808
73.114,0.333002
74.114,0.331913
75.115,0.330661
76.255,0.329543
77.114,0.32836
78.115,0.32739
79.115,0.326165
80.115,0.324708
81.114,0.323703
82.114,0.322155
83.114,0.320859
84.114,0.319819
85.115,0.31877
86.115,0.317464
87.115,0.316376
88.254,0.315244
89.114,0.314261
90.114,0.31311
91.114,0.312228
92.114,0.310878
93.114,0.310255
94.114,0.309059
95.114,0.308102
96.114,0.307352
97.114,0.30648
98.114,0.305341
99.115,0.30439
100.255,0.302715
101.114,0.301488
102.114,0.300822
103.115,0.299734
104.115,0.298947
105.115,0.297979
106.115,0.296974
107.115,0.295691
108.114,0.294636
109.114,0.293476
110.114,0.292985
111.114,0.292993
112.254,0.292445
113.114,0.290933
114.114,0.290513
115.114,0.289324
116.115,0.288348
117.115,0.28704
118.115,0.285708
119.114,0.284956
120.114,0.284248
121.114,0.28311
122.114,0.28214
123.114,0.28141
124.254,0.280282
125.114,0.279534
126.114,0.278472
127.114,0.277455
128.114,0.276311
129.114,0.275252
130.115,0.274929
131.115,0.273339
132.115,0.272724
133.115,0.271461
134.115,0.270431
135.115,0.269654
136.255,0.26832
137.114,0.267267
138.114,0.266535
139.114,0.265476
140.114,0.264654
141.114,0.2636
142.114,0.262429
143.114,0.26192
144.115,0.260673
145.115,0.259903
146.115,0.25864
147.115,0.257817
148.255,0.256586
149.114,0.256122
150.114,0.255538
151.114,0.254502
152.114,0.253089
153.114,0.252148
154.114,0.251255
155.115,0.250339
156.115,0.249715
157.115,0.248831
158.115,0.248106
159.115,0.247419
160.255,0.24674
161.115,0.245738
162.115,0.244832
163.114,0.24411
164.114,0.242992
165.114,0.241933
166.114,0.24148
167.114,0.24032
168.114,0.239681
169.114,0.239099
170.114,0.238017
171.114,0.23715
172.254,0.235952
173.115,0.235095
174.115,0.234361
175.115,0.233611
176.115,0.232342
177.115,0.231572
178.115,0.230523
179.115,0.230294
180.114,0.229248
181.114,0.228045
182.114,0.227387
183.114,0.226657
184.254,0.225209
185.114,0.224275
186.115,0.222997
187.115,0.222358
188.115,0.221492
189.115,0.220608
190.114,0.219596
191.114,0.21848
192.114,0.217482
193.115,0.216297
194.115,0.21562
195.114,0.214619
196.254,0.212684
197.114,0.212597
198.115,0.211697
199.114,0.210845
200.114,0.209831
201.114,0.208929
202.114,0.208114
203.114,0.206909
204.114,0.206135
205.115,0.205347
206.115,0.204611
207.114,0.203506
208.254,0.202667
209.114,0.2017
