t (s),V (mV)
0,0.603718
0.97,0.599191
1.936,0.595107
3.076,0.590594
3.936,0.587263
4.936,0.583667
5.937,0.579961
6.937,0.576415
7.936,0.573515
8.936,0.569842
9.937,0.567202
10.936,0.563779
11.936,0.561022
12.937,0.558093
13.937,0.555361
15.077,0.552213
15.936,0.549371
16.936,0.546649
17.937,0.544137
18.937,0.541294
19.936,0.538699
20.937,0.535886
21.936,0.533229
22.937,0.531287
23.936,0.52917
24.936,0.526442
25.937,0.523969
27.077,0.52152
27.936,0.519405
28.937,0.516681
29.936,0.514457
30.937,0.512519
31.937,0.510305
32.936,0.508124
33.937,0.506014
34.936,0.504088
35.937,0.502022
36.937,0.499926
37.936,0.498142
39.076,0.496112
39.936,0.494184
40.937,0.492061
41.937,0.490112
42.936,0.488359
43.937,0.486121
44.936,0.484273
45.937,0.482251
46.936,0.480506
47.937,0.478711
48.936,0.477008
49.937,0.475199
51.077,0.473183
51.936,0.471304
52.937,0.469393
53.936,0.467787
54.937,0.465953
55.936,0.463927
56.936,0.46212
57.936,0.460835
58.936,0.458582
59.936,0.457151
60.936,0.455491
61.937,0.45379
63.077,0.451748
63.937,0.45037
64.936,0.448866
65.936,0.446957
66.936,0.445419
67.936,0.443584
68.936,0.442061
69.937,0.440363
70.936,0.438579
71.936,0.436821
72.937,0.435258
73.937,0.433685
75.076,0.431898
75.936,0.430283
76.936,0.428944
77.936,0.427186
78.936,0.425854
79.936,0.423902
80.937,0.42261
81.937,0.420845
82.936,0.419491
83.937,0.417797
84.936,0.416371
85.937,0.414454
87.077,0.412643
87.936,0.41189
88.936,0.409962
89.937,0.408757
90.936,0.40717
91.937,0.405812
92.936,0.404061
93.937,0.402363
94.936,0.400944
95.937,0.3992
96.936,0.397714
97.937,0.396075
99.077,0.394331
99.936,0.393251
100.937,0.391536
101.936,0.390645
102.937,0.388874
103.936,0.387777
104.937,0.386149
105.936,0.384626
106.937,0.383022
107.936,0.381267
108.937,0.380083
109.936,0.378356
111.077,0.376925
111.936,0.375495
112.937,0.374002
113.936,0.37258
114.937,0.370893
115.936,0.369628
116.937,0.368124
117.936,0.366891
118.937,0.36517
119.936,0.363539
120.937,0.362551
121.936,0.361373
123.076,0.359639
123.936,0.358614
124.937,0.357084
125.937,0.355535
126.936,0.354381
127.937,0.352934
128.936,0.351257
129.937,0.349986
130.937,0.348802
131.936,0.347404
132.937,0.346154
133.936,0.344517
135.076,0.342929
135.936,0.341978
136.936,0.340095
137.937,0.338985
138.936,0.337696
139.937,0.336274
140.937,0.334991
141.936,0.333604
142.937,0.332306
143.936,0.33127
144.936,0.329727
145.937,0.328267
147.076,0.326559
147.937,0.325719
148.936,0.323898
149.937,0.322676
150.936,0.321151
151.936,0.32051
152.937,0.319088
153.936,0.317963
154.936,0.3167
155.937,0.315663
156.936,0.314148
157.937,0.312673
159.076,0.311131
159.937,0.310504
160.936,0.309196
161.936,0.307972
162.937,0.307122
163.936,0.305532
164.936,0.304268
165.937,0.303085
166.936,0.301808
167.937,0.300633
168.936,0.299407
169.936,0.298351
171.076,0.297223
