Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  201 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1241544,  1244661,  3117 
128 , 136814711,  136819570,  4859 , 1812958 
129 , 137720387,  137725259,  4872 , 1811365 
130 , 138625176,  138630063,  4887 , 1809593 
131 , 139529264,  139534166,  4902 , 1808191 
132 , 140432396,  140437311,  4915 , 1806277 
133 , 141334921,  141339850,  4929 , 1805064 
134 , 142236490,  142241434,  4944 , 1803153 
135 , 143137463,  143142419,  4956 , 1801958 
136 , 144037495,  144042464,  4969 , 1800077 
137 , 144936949,  144941933,  4984 , 1798923 
138 , 145835538,  145840536,  4998 , 1797192 
139 , 146733499,  146738510,  5011 , 1795935 
140 , 147630623,  147635649,  5026 , 1794263 
141 , 148527153,  148532192,  5039 , 1793073 
142 , 149422862,  149427913,  5051 , 1791430 
143 , 150317979,  150323044,  5065 , 1790248 
144 , 151212293,  151217372,  5079 , 1788642 
145 , 152106061,  152111156,  5095 , 1787552 
146 , 152998998,  153004105,  5107 , 1785886 
147 , 153891418,  153896539,  5121 , 1784854 
148 , 154783023,  154788157,  5134 , 1783223 
149 , 155674115,  155679263,  5148 , 1782198 
150 , 156564441,  156569606,  5165 , 1780669 
151 , 157454216,  157459392,  5176 , 1779561 
152 , 158343276,  158348467,  5191 , 1778135 
153 , 159231816,  159237019,  5203 , 1777092 
154 , 160119634,  160124852,  5218 , 1775651 
155 , 161006976,  161012206,  5230 , 1774696 
156 , 161893591,  161898834,  5243 , 1773243 
157 , 162779740,  162784998,  5258 , 1772313 
158 , 163665184,  163670455,  5271 , 1770901 
159 , 164550162,  164555447,  5285 , 1769970 
160 , 165434458,  165439757,  5299 , 1768606 
161 , 166318287,  166323600,  5313 , 1767672 
162 , 167201446,  167206773,  5327 , 1766332 
163 , 168084170,  168089509,  5339 , 1765460 
164 , 168966216,  168971570,  5354 , 1764107 
165 , 169847817,  169853184,  5367 , 1763215 
166 , 170728786,  170734169,  5383 , 1761954 
167 , 171609325,  171614721,  5396 , 1761091 
168 , 172489224,  172494635,  5411 , 1759813 
169 , 173368728,  173374151,  5423 , 1759020 
170 , 174247586,  174253024,  5438 , 1757731 
171 , 175126047,  175131497,  5450 , 1756934 
172 , 176003870,  176009335,  5465 , 1755661 
173 , 176881318,  176886797,  5479 , 1754910 
174 , 177758135,  177763627,  5492 , 1753647 
175 , 178634575,  178640081,  5506 , 1752894 
176 , 179510388,  179515909,  5521 , 1751641 
177 , 180385844,  180391377,  5533 , 1750924 
178 , 181260677,  181266226,  5549 , 1749682 
179 , 182135164,  182140727,  5563 , 1748988 
180 , 183009028,  183014605,  5577 , 1747742 
181 , 183882590,  183888178,  5588 , 1747135 
182 , 184755525,  184761129,  5604 , 1745886 
183 , 185628175,  185633793,  5618 , 1745314 
184 , 186500227,  186505859,  5632 , 1744118 
185 , 187371969,  187377614,  5645 , 1743497 
186 , 188243124,  188248784,  5660 , 1742325 
187 , 189113996,  189119669,  5673 , 1741757 
188 , 189984267,  189989955,  5688 , 1740557 
189 , 190854248,  190859947,  5699 , 1739973 
190 , 191723656,  191729371,  5715 , 1738832 
191 , 192592782,  192598510,  5728 , 1738265 
192 , 193461331,  193467073,  5742 , 1737112 
193 , 194329604,  194335359,  5755 , 1736559 
194 , 195197318,  195203087,  5769 , 1735442 
195 , 196064775,  196070559,  5784 , 1734929 
196 , 196931664,  196937461,  5797 , 1733791 
197 , 197798317,  197804128,  5811 , 1733320 
198 , 198664421,  198670246,  5825 , 1732222 
199 , 199530291,  199536129,  5838 , 1731753 
200 , 200395609,  200401461,  5852 , 1730650 
Число меток разделителя:  2 
0 
201 
Эффективный угловой размер затеняющй спицы:  0.005218434059  0.000003395808 
Период линейных колебаний [сек]:  1.331508150582  0.000866456471   
