combsort;1000;157400,00;nsec.
quickSort;1000;1299800,00;nsec.
heapSort;1000;181300,00;nsec.
combsort;5000;1000700,00;nsec.
quickSort;5000;59990300,00;nsec.
heapSort;5000;1169900,00;nsec.
combsort;10000;2314900,00;nsec.
quickSort;10000;103380500,00;nsec.
heapSort;10000;2462000,00;nsec.
combsort;15000;3601500,00;nsec.
quickSort;15000;132330900,00;nsec.
heapSort;15000;3885300,00;nsec.
combsort;25000;6400900,00;nsec.
quickSort;25000;415126200,00;nsec.
heapSort;25000;6925900,00;nsec.
combsort;50000;14623700,00;nsec.
quickSort;50000;1775273700,00;nsec.
heapSort;50000;15198100,00;nsec.
combsort;75000;21557100,00;nsec.
quickSort;75000;7450945500,00;nsec.
heapSort;75000;22997200,00;nsec.
combsort;100000;28263200,00;nsec.
quickSort;100000;32186253600,00;nsec.
heapSort;100000;49358000,00;nsec.
combsort;150000;71236900,00;nsec.
quickSort;150000;119704493100,00;nsec.
heapSort;150000;77338300,00;nsec.
combsort;250000;126433400,00;nsec.
quickSort;250000;250351795400,00;nsec.
heapSort;250000;90475400,00;nsec.
