bubblesort;1000;20845100
insertions;1000;10145000
selectionsort;1000;3572600
bubblesort;5000;381383200
insertions;5000;232145700
selectionsort;5000;108190800
bubblesort;10000;1380963300
insertions;10000;918982600
selectionsort;10000;411150000
bubblesort;15000;3054735500
insertions;15000;2147738300
selectionsort;15000;1073918200
